"Дата","Цена","Откр.","Макс.","Мин.","Объём","Изм. %"
"14.01.2026","2.702,69","2.686,10","2.716,21","2.674,17","54,95B","0,21%"
"13.01.2026","2.696,92","2.696,73","2.705,25","2.687,10","48,15B","-0,19%"
"12.01.2026","2.701,93","2.731,66","2.733,82","2.696,37","62,79B","-0,84%"
"09.01.2026","2.724,85","2.727,47","2.730,17","2.721,13","13,43B","0,23%"
"08.01.2026","2.718,62","2.720,32","2.732,75","2.714,73","19,04B","-0,97%"
"06.01.2026","2.745,26","2.765,10","2.767,32","2.739,37","23,08B","-0,43%"
"05.01.2026","2.757,09","2.733,01","2.760,06","2.728,44","24,10B","-0,34%"
"30.12.2025","2.766,62","2.758,42","2.775,20","2.749,53","39,76B","0,90%"
"29.12.2025","2.742,03","2.775,62","2.819,33","2.738,95","91,19B","-0,47%"
"26.12.2025","2.754,89","2.737,19","2.760,53","2.735,31","54,59B","1,50%"
"25.12.2025","2.714,12","2.717,90","2.722,91","2.708,39","31,87B","-0,22%"
"24.12.2025","2.720,02","2.723,31","2.733,38","2.709,96","38,93B","-0,20%"
"23.12.2025","2.725,38","2.717,92","2.733,17","2.704,27","50,58B","0,35%"
"22.12.2025","2.715,98","2.741,24","2.741,34","2.712,64","63,60B","-0,99%"
"19.12.2025","2.743,09","2.779,21","2.791,25","2.739,55","99,86B","-0,36%"
"18.12.2025","2.753,07","2.764,09","2.772,87","2.752,06","72,87B","-0,24%"
"17.12.2025","2.759,73","2.780,86","2.781,97","2.740,18","59,48B","-0,52%"
"16.12.2025","2.774,23","2.749,87","2.779,73","2.746,77","48,40B","0,92%"
"15.12.2025","2.748,93","2.734,06","2.751,70","2.723,80","42,45B","0,34%"
"12.12.2025","2.739,49","2.761,36","2.769,35","2.731,98","49,29B","-0,34%"
"11.12.2025","2.748,93","2.733,58","2.761,94","2.733,29","64,57B","1,04%"
"10.12.2025","2.720,66","2.720,42","2.730,60","2.713,19","29,77B","0,66%"
"09.12.2025","2.702,72","2.693,36","2.721,82","2.686,32","38,32B","-0,09%"
"08.12.2025","2.705,17","2.727,14","2.739,74","2.699,79","49,99B","-0,23%"
"05.12.2025","2.711,30","2.662,05","2.718,32","2.656,92","63,73B","2,04%"
"04.12.2025","2.657,13","2.661,39","2.668,09","2.653,99","27,06B","0,20%"
"03.12.2025","2.651,71","2.640,22","2.651,71","2.619,88","38,78B","-0,58%"
"02.12.2025","2.667,20","2.683,76","2.692,22","2.657,52","35,46B","-0,73%"
"01.12.2025","2.686,93","2.674,51","2.698,41","2.662,86","45,87B","0,39%"
"28.11.2025","2.676,42","2.627,90","2.685,88","2.623,38","47,73B","2,10%"
"27.11.2025","2.621,37","2.672,82","2.674,23","2.605,13","48,47B","-1,76%"
"26.11.2025","2.668,38","2.676,81","2.679,97","2.660,88","22,94B","-0,65%"
"25.11.2025","2.685,95","2.672,67","2.695,04","2.639,72","54,44B","1,17%"
"24.11.2025","2.654,84","2.703,18","2.713,02","2.645,91","56,18B","-1,12%"
"21.11.2025","2.685,03","2.679,54","2.695,26","2.650,06","62,10B","2,16%"
"20.11.2025","2.628,31","2.635,22","2.661,12","2.617,57","57,18B","-0,67%"
"19.11.2025","2.646,02","2.576,51","2.669,85","2.558,51","112,97B","3,24%"
"18.11.2025","2.563,07","2.506,61","2.574,49","2.492,20","84,98B","2,09%"
"17.11.2025","2.510,64","2.509,55","2.521,49","2.501,71","44,59B","-0,60%"
"14.11.2025","2.525,68","2.548,74","2.550,93","2.514,92","41,63B","-0,70%"
"13.11.2025","2.543,36","2.542,57","2.550,96","2.528,64","49,24B","0,28%"
"12.11.2025","2.536,22","2.573,61","2.576,65","2.529,06","49,62B","-1,17%"
"11.11.2025","2.566,17","2.562,13","2.576,62","2.550,85","34,17B","0,30%"
"10.11.2025","2.558,60","2.590,59","2.600,19","2.552,16","54,99B","-0,30%"
"07.11.2025","2.566,42","2.545,05","2.573,84","2.544,48","41,25B","0,93%"
"06.11.2025","2.542,70","2.558,87","2.560,25","2.532,02","28,47B","-0,15%"
"05.11.2025","2.546,62","2.552,75","2.579,16","2.537,65","47,54B","-0,95%"
